userId,group,trialNo,userInput,shubNo
a0c1b5a9552e4c3b92e5440cd8362ee7,0,3,6,6
e11fd51ee4cf4f90a090138d0daa26c5,0,3,12,12
a0c1b5a9552e4c3b92e5440cd8362ee7,0,7,16,24
67902ecb09454c9fa106f613aeb00e3b,1,3,5,5
e11fd51ee4cf4f90a090138d0daa26c5,0,7,50,50
67902ecb09454c9fa106f613aeb00e3b,1,7,2,2
9d673a6ed17042b88756047944809447,1,3,2,2
9d673a6ed17042b88756047944809447,1,7,2,2
883f7ba094f840c5a5404856e94a69be,1,3,10,5
4dd8f62dc0ff4caebca68f0dbc48accc,1,3,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,7,10,10
43393b6f76eb4d118e882f915235769b,1,3,3,2
f745453fc9644f179c88b411066a437e,1,3,7,7
f745453fc9644f179c88b411066a437e,1,7,20,20
5655c934794d4a29bc73177e33e17292,0,3,4,3
6edb792de08b48658196002a446ce735,0,3,7,7
cf057adf72e7419a8a50bf0c521c5cf6,1,3,3,3
5655c934794d4a29bc73177e33e17292,0,7,13,13
6edb792de08b48658196002a446ce735,0,7,22,22
cf057adf72e7419a8a50bf0c521c5cf6,1,7,2,2
63200c7746d141bf979ecf847d4c093a,1,3,6,6
63200c7746d141bf979ecf847d4c093a,1,7,3,3
c3e2f5c287fb448ab92a06cf4098be36,1,3,8,8
f2a68571350c4e5da76a88650675e9df,1,3,17,17
fac5a2ecb5424fca8ca2d3ec18ac6e8c,1,3,3,3
c3e2f5c287fb448ab92a06cf4098be36,1,7,9,12
f2a68571350c4e5da76a88650675e9df,1,7,28,28
fac5a2ecb5424fca8ca2d3ec18ac6e8c,1,7,2,2
fac5a2ecb5424fca8ca2d3ec18ac6e8c,1,7,2,2
70577db5a5234167b33547cd824b0924,1,3,3,3
70577db5a5234167b33547cd824b0924,1,7,2,2
294e3a70357d4b72ab1ca3cc968bb62b,0,3,3,3
26153064fbb844058924bacdb41ceae4,1,3,5,5
294e3a70357d4b72ab1ca3cc968bb62b,0,7,5,5
26153064fbb844058924bacdb41ceae4,1,7,12,12
fff70f02648c4cb7aec1726d1308344a,0,3,2,2
fff70f02648c4cb7aec1726d1308344a,0,7,2,2
bc0510b54d424ff4985ee1476a908c6e,1,3,5,5
b3a46654bd834367b2ba00a025ab2039,1,3,5,5
bc0510b54d424ff4985ee1476a908c6e,1,7,3,2
b3a46654bd834367b2ba00a025ab2039,1,7,8,8
b022fb86deb34356a42499a99a7599cc,1,3,7,7
b022fb86deb34356a42499a99a7599cc,1,7,20,20
b022fb86deb34356a42499a99a7599cc,1,7,20,20
a2c2fcadb4cd491b8b4de3744e39a22e,0,3,13,5
7ec54323cac646dabec2ae83afd54e6e,0,3,7,5
7e62ca226def43ee866e7ff6b5f9c35d,0,3,7,7
7ec54323cac646dabec2ae83afd54e6e,0,7,5,5
7e62ca226def43ee866e7ff6b5f9c35d,0,7,2,2
d590587633ee4eb9bf4a0d354c93af20,1,3,2,2
d590587633ee4eb9bf4a0d354c93af20,1,7,3,3
c29239c3ab514fb18627f25e9f816013,0,3,5,5
c29239c3ab514fb18627f25e9f816013,0,3,5,5
c29239c3ab514fb18627f25e9f816013,0,3,5,5
c29239c3ab514fb18627f25e9f816013,0,7,2,2
fc0d573f4c9e43efbdcc574845f00947,1,3,17,17
fc0d573f4c9e43efbdcc574845f00947,1,7,27,27
ca3b94da03c040fe9ea44c3d6134ec43,1,3,4,4
81769d179bbc4cb2a089663f550cc2fc,1,3,2,2
0d7aad6d3cc743198133e5daddb9a1f9,0,3,5,5
ca3b94da03c040fe9ea44c3d6134ec43,1,7,2,2
81769d179bbc4cb2a089663f550cc2fc,1,7,2,2
0d7aad6d3cc743198133e5daddb9a1f9,0,7,22,22
6aca76cd1d6241868d6d11a2336a0d7f,1,3,3,2
6aca76cd1d6241868d6d11a2336a0d7f,1,7,2,2
0e012d2824af42638a8f27b3e2b8acc4,0,3,6,6
7debe3214c65496db7bf4f3ed8f50e77,0,3,18,18
0e012d2824af42638a8f27b3e2b8acc4,0,7,2,2
7debe3214c65496db7bf4f3ed8f50e77,0,7,7,3
bcf8215fa6f04334aced458964b5c950,0,3,2,2
bcf8215fa6f04334aced458964b5c950,0,7,2,2
5aa4933afc734314bba45012b50b18d3,0,3,9,3
5aa4933afc734314bba45012b50b18d3,0,7,8,8
4b3bea25b1de42f9a060d67b9c3f23f3,0,3,19,19
4b3bea25b1de42f9a060d67b9c3f23f3,0,7,3,3
57a1461c88b34e1aae7c40a1638d82dc,0,3,15,7
57a1461c88b34e1aae7c40a1638d82dc,0,7,32,34
f3df10fbae4b40b2bce28563f4788ac1,0,3,2,2
7f87f9fd223b47c7be8fe12c07c52b5a,0,3,5,18
f3df10fbae4b40b2bce28563f4788ac1,0,7,2,2
f3df10fbae4b40b2bce28563f4788ac1,0,7,2,2
b3f4261baf074452a531ea7e0f0c9f00,0,3,4,18
152dbc831af84c6b872fc68e5327de6e,0,3,6,6
0b1d9703a9624642b3e2f8fb24809795,0,3,2,2
7f87f9fd223b47c7be8fe12c07c52b5a,0,7,2,2
0b1d9703a9624642b3e2f8fb24809795,0,7,2,2
b3f4261baf074452a531ea7e0f0c9f00,0,7,3,105
152dbc831af84c6b872fc68e5327de6e,0,7,4,2
ecfb2918d5ac4503bd4d45cfc2773796,0,3,18,18
ecfb2918d5ac4503bd4d45cfc2773796,0,7,70,70
d5f8d668a5fe4e88a61a764acd67c7b3,0,3,2,2
d5f8d668a5fe4e88a61a764acd67c7b3,0,7,2,2
9aa3a6e1dd914227b0ee95e9c1294dda,1,3,2,2
f5a79664f9e943f3b79ac90f419864f0,1,3,19,19
937054558791476f835bfdccf492c135,0,3,17,17
6b1fdb2c84c4408dad0d90063cd56c59,1,3,3,17
f5a79664f9e943f3b79ac90f419864f0,1,7,114,114
937054558791476f835bfdccf492c135,0,7,30,30
