userId,group,trialNo,userInput,shubNo
b48fa8b24b1f418bac53ac559b242fca,0,3,2,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,3,5,8
b48fa8b24b1f418bac53ac559b242fca,0,7,4,4
80071a49d04543eeaef6ec02c037d158,0,3,2,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,7,2,2
2a7631677b1a47d385d98e93c0fd72da,0,3,2,2
80071a49d04543eeaef6ec02c037d158,0,7,2,2
2a7631677b1a47d385d98e93c0fd72da,0,7,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,3,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,7,2,2
5f458562bae346dd895c2f78e895c19f,1,3,6,3
c9137c5421c44ca086da95757e62b3e9,0,3,2,2
5f458562bae346dd895c2f78e895c19f,1,7,6,2
c9137c5421c44ca086da95757e62b3e9,0,7,3,2
2a76166b5b2441f9bac17fd2869bc856,0,3,8,8
2a76166b5b2441f9bac17fd2869bc856,0,7,10,10
85398ad0c99442c1bbe9fd3c049e6f8c,1,3,2,2
85398ad0c99442c1bbe9fd3c049e6f8c,1,7,2,2
48d250c93d1742bcbe2f6c0a15a15505,1,3,8,8
48d250c93d1742bcbe2f6c0a15a15505,1,7,7,7
d73cef132d5042e4b07625ccd9822866,1,3,5,2
d73cef132d5042e4b07625ccd9822866,1,7,6,2
