userId,group,item,responseNo,checked
b48fa8b24b1f418bac53ac559b242fca,0,age,1,0
b48fa8b24b1f418bac53ac559b242fca,0,age,2,0
b48fa8b24b1f418bac53ac559b242fca,0,age,3,1
b48fa8b24b1f418bac53ac559b242fca,0,age,4,0
b48fa8b24b1f418bac53ac559b242fca,0,age,5,0
b48fa8b24b1f418bac53ac559b242fca,0,age,6,0
b48fa8b24b1f418bac53ac559b242fca,0,age,7,0
b48fa8b24b1f418bac53ac559b242fca,0,gender,1,0
b48fa8b24b1f418bac53ac559b242fca,0,gender,2,1
b48fa8b24b1f418bac53ac559b242fca,0,gender,3,0
b48fa8b24b1f418bac53ac559b242fca,0,gender,4,0
b48fa8b24b1f418bac53ac559b242fca,0,gender,5,0
b48fa8b24b1f418bac53ac559b242fca,0,gender,6,0
b48fa8b24b1f418bac53ac559b242fca,0,gender,7,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,age,1,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,age,2,1
e334e59dcebb43658bb9dc7ea0fa98a5,0,age,3,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,age,4,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,age,5,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,age,6,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,age,7,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,gender,1,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,gender,2,1
e334e59dcebb43658bb9dc7ea0fa98a5,0,gender,3,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,gender,4,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,gender,5,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,gender,6,0
e334e59dcebb43658bb9dc7ea0fa98a5,0,gender,7,0
80071a49d04543eeaef6ec02c037d158,0,age,1,0
80071a49d04543eeaef6ec02c037d158,0,age,2,0
80071a49d04543eeaef6ec02c037d158,0,age,3,1
80071a49d04543eeaef6ec02c037d158,0,age,4,0
80071a49d04543eeaef6ec02c037d158,0,age,5,0
80071a49d04543eeaef6ec02c037d158,0,age,6,0
80071a49d04543eeaef6ec02c037d158,0,age,7,0
80071a49d04543eeaef6ec02c037d158,0,gender,1,0
80071a49d04543eeaef6ec02c037d158,0,gender,2,1
80071a49d04543eeaef6ec02c037d158,0,gender,3,0
80071a49d04543eeaef6ec02c037d158,0,gender,4,0
80071a49d04543eeaef6ec02c037d158,0,gender,5,0
80071a49d04543eeaef6ec02c037d158,0,gender,6,0
80071a49d04543eeaef6ec02c037d158,0,gender,7,0
c9137c5421c44ca086da95757e62b3e9,0,age,1,0
c9137c5421c44ca086da95757e62b3e9,0,age,2,0
c9137c5421c44ca086da95757e62b3e9,0,age,3,0
c9137c5421c44ca086da95757e62b3e9,0,age,4,1
c9137c5421c44ca086da95757e62b3e9,0,age,5,0
c9137c5421c44ca086da95757e62b3e9,0,age,6,0
c9137c5421c44ca086da95757e62b3e9,0,age,7,0
c9137c5421c44ca086da95757e62b3e9,0,gender,1,1
c9137c5421c44ca086da95757e62b3e9,0,gender,2,0
c9137c5421c44ca086da95757e62b3e9,0,gender,3,0
c9137c5421c44ca086da95757e62b3e9,0,gender,4,0
c9137c5421c44ca086da95757e62b3e9,0,gender,5,0
c9137c5421c44ca086da95757e62b3e9,0,gender,6,0
c9137c5421c44ca086da95757e62b3e9,0,gender,7,0
5f458562bae346dd895c2f78e895c19f,1,age,1,0
5f458562bae346dd895c2f78e895c19f,1,age,2,1
5f458562bae346dd895c2f78e895c19f,1,age,3,0
5f458562bae346dd895c2f78e895c19f,1,age,4,0
5f458562bae346dd895c2f78e895c19f,1,age,5,0
5f458562bae346dd895c2f78e895c19f,1,age,6,0
5f458562bae346dd895c2f78e895c19f,1,age,7,0
5f458562bae346dd895c2f78e895c19f,1,gender,1,0
5f458562bae346dd895c2f78e895c19f,1,gender,2,1
5f458562bae346dd895c2f78e895c19f,1,gender,3,0
5f458562bae346dd895c2f78e895c19f,1,gender,4,0
5f458562bae346dd895c2f78e895c19f,1,gender,5,0
5f458562bae346dd895c2f78e895c19f,1,gender,6,0
5f458562bae346dd895c2f78e895c19f,1,gender,7,0
2ce9e47caaa74ce7ba4f15844494c566,1,age,1,0
2ce9e47caaa74ce7ba4f15844494c566,1,age,2,0
