userId,group,blockNo,trialNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,shubNoOld,shubNoNew
a0c1b5a9552e4c3b92e5440cd8362ee7,0,1,1,1,6,0,1,0,2,4,0,1,0,10,5
a0c1b5a9552e4c3b92e5440cd8362ee7,0,1,2,2,2,2,2,2,2,3,3,3,4,5,6
a0c1b5a9552e4c3b92e5440cd8362ee7,0,2,3,2,3,2,1,1,2,3,2,0,4,6,8
e11fd51ee4cf4f90a090138d0daa26c5,0,1,1,1,1,1,1,1,1,3,1,0,4,10,13
a0c1b5a9552e4c3b92e5440cd8362ee7,0,2,4,2,3,2,2,1,2,3,3,3,4,8,11
e11fd51ee4cf4f90a090138d0daa26c5,0,1,2,6,6,6,6,6,6,5,6,6,6,13,12
a0c1b5a9552e4c3b92e5440cd8362ee7,0,3,5,2,4,2,0,4,2,5,2,0,4,11,16
a0c1b5a9552e4c3b92e5440cd8362ee7,0,3,6,2,3,4,2,6,2,5,4,1,6,16,24
67902ecb09454c9fa106f613aeb00e3b,1,1,1,1,1,1,0,0,1,1,2,1,0,10,4
67902ecb09454c9fa106f613aeb00e3b,1,1,2,0,0,0,1,1,0,4,0,1,4,4,5
e11fd51ee4cf4f90a090138d0daa26c5,0,2,3,6,6,6,6,6,6,5,6,6,6,12,11
a0c1b5a9552e4c3b92e5440cd8362ee7,0,4,7,4,3,4,0,5,5,5,4,0,5,24,36
a0c1b5a9552e4c3b92e5440cd8362ee7,0,4,8,3,3,4,2,3,3,3,3,2,4,36,49
e11fd51ee4cf4f90a090138d0daa26c5,0,2,4,6,5,6,6,6,-1000,-1000,-1000,-1000,-1000,11,18
a0c1b5a9552e4c3b92e5440cd8362ee7,0,5,9,3,4,2,0,4,2,5,2,0,4,49,73
a0c1b5a9552e4c3b92e5440cd8362ee7,0,5,10,2,3,2,0,6,2,5,2,0,6,73,109
67902ecb09454c9fa106f613aeb00e3b,1,2,3,0,2,0,3,0,0,3,0,1,0,5,2
e11fd51ee4cf4f90a090138d0daa26c5,0,3,5,6,5,6,6,6,-1000,-1000,-1000,-1000,-1000,18,30
67902ecb09454c9fa106f613aeb00e3b,1,2,4,0,1,0,0,4,0,2,0,1,3,2,2
a0c1b5a9552e4c3b92e5440cd8362ee7,0,6,11,3,3,3,0,6,3,5,3,0,7,109,163
e11fd51ee4cf4f90a090138d0daa26c5,0,3,6,6,5,6,6,6,-1000,-1000,-1000,-1000,-1000,30,50
a0c1b5a9552e4c3b92e5440cd8362ee7,0,6,12,2,2,3,2,4,2,2,3,2,2,163,207
67902ecb09454c9fa106f613aeb00e3b,1,3,5,0,2,0,0,3,0,2,0,1,3,2,2
67902ecb09454c9fa106f613aeb00e3b,1,3,6,1,0,2,0,2,0,0,2,1,2,2,2
e11fd51ee4cf4f90a090138d0daa26c5,0,4,7,6,5,6,6,6,-1000,-1000,-1000,-1000,-1000,50,83
e11fd51ee4cf4f90a090138d0daa26c5,0,4,8,6,5,6,6,6,-1000,-1000,-1000,-1000,-1000,83,138
67902ecb09454c9fa106f613aeb00e3b,1,4,7,1,2,0,1,0,1,3,0,1,4,2,2
e11fd51ee4cf4f90a090138d0daa26c5,0,5,9,6,5,6,5,6,-1000,-1000,-1000,-1000,-1000,138,230
67902ecb09454c9fa106f613aeb00e3b,1,4,8,0,2,1,3,0,0,3,1,2,0,2,2
e11fd51ee4cf4f90a090138d0daa26c5,0,5,10,6,5,6,6,6,-1000,-1000,-1000,-1000,-1000,230,384
67902ecb09454c9fa106f613aeb00e3b,1,5,9,0,3,1,4,0,0,3,1,2,0,2,2
67902ecb09454c9fa106f613aeb00e3b,1,5,10,0,0,3,0,3,0,0,4,1,3,2,2
e11fd51ee4cf4f90a090138d0daa26c5,0,6,11,6,5,5,5,6,-1000,-1000,-1000,-1000,-1000,384,641
67902ecb09454c9fa106f613aeb00e3b,1,6,11,0,3,1,2,0,0,4,1,2,4,2,2
e11fd51ee4cf4f90a090138d0daa26c5,0,6,12,6,5,5,5,6,-1000,-1000,-1000,-1000,-1000,641,1070
67902ecb09454c9fa106f613aeb00e3b,1,6,12,0,2,2,2,2,0,4,2,1,4,2,2
9d673a6ed17042b88756047944809447,1,1,1,6,0,0,0,0,7,0,0,1,0,10,6
9d673a6ed17042b88756047944809447,1,1,2,0,6,0,0,0,0,6,1,1,0,6,2
9d673a6ed17042b88756047944809447,1,2,3,6,0,0,1,0,7,3,0,1,4,2,2
