userId,group,blockNo,trialNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,shubNoOld,shubNoNew
b48fa8b24b1f418bac53ac559b242fca,0,1,1,5,0,0,0,0,5,0,1,1,0,5,3
b48fa8b24b1f418bac53ac559b242fca,0,1,2,0,3,0,0,0,1,3,0,1,0,3,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,1,1,0,0,0,1,0,0,3,1,1,4,5,6
b48fa8b24b1f418bac53ac559b242fca,0,2,3,0,0,0,2,0,0,4,0,2,4,2,2
b48fa8b24b1f418bac53ac559b242fca,0,2,4,1,0,0,2,0,0,4,0,2,4,2,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,1,2,0,0,0,1,0,0,3,1,1,4,6,8
b48fa8b24b1f418bac53ac559b242fca,0,3,5,0,4,0,2,4,-1000,-1000,-1000,-1000,-1000,2,3
e334e59dcebb43658bb9dc7ea0fa98a5,0,2,3,1,1,1,1,1,0,3,1,1,4,8,11
b48fa8b24b1f418bac53ac559b242fca,0,3,6,0,4,0,2,4,-1000,-1000,-1000,-1000,-1000,3,4
e334e59dcebb43658bb9dc7ea0fa98a5,0,2,4,2,2,2,3,2,2,3,2,2,2,11,5
80071a49d04543eeaef6ec02c037d158,0,1,1,0,0,0,0,6,0,3,0,0,6,5,5
80071a49d04543eeaef6ec02c037d158,0,1,2,0,6,0,0,0,0,6,0,1,1,5,2
b48fa8b24b1f418bac53ac559b242fca,0,5,7,0,4,0,2,4,-1000,-1000,-1000,-1000,-1000,4,6
2a7631677b1a47d385d98e93c0fd72da,0,1,1,0,0,0,0,0,0,1,0,2,0,5,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,3,5,0,0,0,3,2,0,0,0,2,3,5,2
b48fa8b24b1f418bac53ac559b242fca,0,5,8,0,0,0,0,0,0,1,0,2,0,6,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,3,6,0,0,0,1,1,0,3,1,1,4,2,2
2a7631677b1a47d385d98e93c0fd72da,0,1,2,4,1,2,0,2,4,0,2,1,2,2,2
b48fa8b24b1f418bac53ac559b242fca,0,6,9,0,2,0,1,1,0,3,1,1,4,2,2
80071a49d04543eeaef6ec02c037d158,0,2,3,0,0,4,0,0,0,0,4,1,1,2,2
b48fa8b24b1f418bac53ac559b242fca,0,6,10,0,4,0,2,4,-1000,-1000,-1000,-1000,-1000,2,3
e334e59dcebb43658bb9dc7ea0fa98a5,0,4,7,1,0,0,0,1,1,0,1,1,1,2,2
80071a49d04543eeaef6ec02c037d158,0,2,4,6,0,0,0,0,6,0,0,2,0,2,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,4,8,1,0,0,0,1,1,0,1,1,1,2,2
80071a49d04543eeaef6ec02c037d158,0,3,5,0,0,0,6,0,0,0,0,6,4,2,2
80071a49d04543eeaef6ec02c037d158,0,3,6,0,0,0,0,6,0,3,0,0,6,2,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,5,9,1,0,0,1,0,1,4,0,1,4,2,2
2a7631677b1a47d385d98e93c0fd72da,0,2,3,0,0,0,2,2,0,4,0,2,4,2,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,5,10,0,0,1,1,0,0,3,1,1,4,2,2
2a7631677b1a47d385d98e93c0fd72da,0,2,4,0,0,0,2,2,0,4,0,2,4,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,1,1,0,0,0,6,0,0,0,0,6,4,5,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,6,11,1,1,0,0,0,1,1,0,1,0,2,2
80071a49d04543eeaef6ec02c037d158,0,4,7,6,0,0,0,3,6,1,0,1,3,2,2
e334e59dcebb43658bb9dc7ea0fa98a5,0,6,12,0,2,0,0,0,0,2,0,1,0,2,2
2a7631677b1a47d385d98e93c0fd72da,0,3,5,0,2,2,2,0,1,3,2,2,4,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,1,2,0,0,0,0,6,0,3,0,0,6,2,2
80071a49d04543eeaef6ec02c037d158,0,4,8,4,0,3,5,4,4,2,4,5,4,2,2
2a7631677b1a47d385d98e93c0fd72da,0,3,6,0,0,0,1,2,0,3,1,1,4,2,2
80071a49d04543eeaef6ec02c037d158,0,5,9,1,1,1,1,1,0,3,1,1,4,2,2
80071a49d04543eeaef6ec02c037d158,0,5,10,0,2,2,0,2,0,2,2,0,4,2,2
2a7631677b1a47d385d98e93c0fd72da,0,4,7,0,0,0,2,2,0,4,0,2,4,2,2
80071a49d04543eeaef6ec02c037d158,0,6,11,0,3,1,1,4,0,5,1,1,4,2,2
80071a49d04543eeaef6ec02c037d158,0,6,12,4,0,0,3,0,3,0,0,2,0,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,2,3,0,3,0,0,6,1,4,0,1,6,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,2,4,0,0,0,6,4,0,2,0,6,6,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,3,5,0,1,0,0,4,1,2,0,0,4,2,2
5f458562bae346dd895c2f78e895c19f,1,1,1,6,6,6,6,6,6,5,6,7,6,5,4
2ce9e47caaa74ce7ba4f15844494c566,1,3,6,0,5,0,2,0,0,4,0,2,4,2,2
5f458562bae346dd895c2f78e895c19f,1,1,2,6,6,6,6,6,6,5,6,7,6,4,3
2ce9e47caaa74ce7ba4f15844494c566,1,4,7,0,3,0,0,6,1,4,0,1,6,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,4,8,0,6,0,3,0,0,5,0,4,1,2,2
5f458562bae346dd895c2f78e895c19f,1,2,3,6,6,6,6,6,6,5,6,7,6,3,2
5f458562bae346dd895c2f78e895c19f,1,2,4,6,6,6,6,6,6,5,6,7,6,2,2
c9137c5421c44ca086da95757e62b3e9,0,1,1,0,0,0,0,0,0,1,0,2,0,5,2
c9137c5421c44ca086da95757e62b3e9,0,1,2,0,0,0,1,0,0,3,1,1,4,2,2
5f458562bae346dd895c2f78e895c19f,1,3,5,0,0,0,0,0,0,1,0,2,0,2,2
5f458562bae346dd895c2f78e895c19f,1,3,6,0,0,0,2,0,0,4,0,2,4,2,2
c9137c5421c44ca086da95757e62b3e9,0,2,3,0,0,0,0,0,0,1,0,2,0,2,2
c9137c5421c44ca086da95757e62b3e9,0,2,4,0,0,0,0,0,0,1,0,2,0,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,5,9,0,4,0,3,1,0,4,1,2,1,2,2
c9137c5421c44ca086da95757e62b3e9,0,3,5,0,0,0,0,0,0,1,0,2,0,2,2
5f458562bae346dd895c2f78e895c19f,1,4,7,6,6,6,6,6,6,5,6,7,6,2,2
c9137c5421c44ca086da95757e62b3e9,0,3,6,0,0,0,0,0,0,1,0,2,0,2,2
5f458562bae346dd895c2f78e895c19f,1,4,8,1,1,1,1,1,0,3,1,1,4,2,2
2a76166b5b2441f9bac17fd2869bc856,0,1,1,0,2,2,1,1,0,3,1,1,4,5,6
2ce9e47caaa74ce7ba4f15844494c566,1,5,10,0,2,0,0,6,0,3,0,0,6,2,2
c9137c5421c44ca086da95757e62b3e9,0,4,7,0,0,0,0,0,0,1,0,2,0,2,2
c9137c5421c44ca086da95757e62b3e9,0,4,8,0,0,0,0,0,0,1,0,2,0,2,2
5f458562bae346dd895c2f78e895c19f,1,5,9,1,1,1,1,1,0,3,1,1,4,2,2
2a76166b5b2441f9bac17fd2869bc856,0,1,2,1,1,1,1,1,0,3,1,1,4,6,8
c9137c5421c44ca086da95757e62b3e9,0,5,9,0,0,0,0,0,0,1,0,2,0,2,2
c9137c5421c44ca086da95757e62b3e9,0,5,10,0,0,0,0,0,0,1,0,2,0,2,2
5f458562bae346dd895c2f78e895c19f,1,5,10,6,6,6,6,6,6,5,6,7,6,2,2
c9137c5421c44ca086da95757e62b3e9,0,6,11,0,0,0,0,0,0,1,0,2,0,2,2
2a76166b5b2441f9bac17fd2869bc856,0,2,3,0,3,0,0,4,0,4,0,2,4,8,11
5f458562bae346dd895c2f78e895c19f,1,6,11,2,2,2,2,2,2,3,2,2,5,2,2
c9137c5421c44ca086da95757e62b3e9,0,6,12,0,0,0,0,0,0,1,0,2,0,2,2
2ce9e47caaa74ce7ba4f15844494c566,1,6,11,0,3,2,2,0,1,3,2,2,4,2,2
5f458562bae346dd895c2f78e895c19f,1,6,12,2,2,2,2,2,2,3,2,2,5,2,2
2a76166b5b2441f9bac17fd2869bc856,0,2,4,0,3,0,0,4,0,4,0,2,4,11,15
2ce9e47caaa74ce7ba4f15844494c566,1,6,12,0,0,0,6,4,0,2,0,6,6,2,2
2a76166b5b2441f9bac17fd2869bc856,0,3,5,0,5,0,0,6,-1000,-1000,-1000,-1000,-1000,15,24
2a76166b5b2441f9bac17fd2869bc856,0,3,6,0,0,0,0,0,0,1,0,2,0,24,10
2a76166b5b2441f9bac17fd2869bc856,0,4,7,0,5,0,0,5,-1000,-1000,-1000,-1000,-1000,10,16
2a76166b5b2441f9bac17fd2869bc856,0,4,8,0,5,0,0,5,-1000,-1000,-1000,-1000,-1000,16,25
2a76166b5b2441f9bac17fd2869bc856,0,5,9,0,6,0,0,6,0,3,0,0,6,25,4
2a76166b5b2441f9bac17fd2869bc856,0,5,10,0,0,0,0,0,0,1,0,2,0,4,2
2a76166b5b2441f9bac17fd2869bc856,0,6,11,0,3,1,0,3,0,3,1,1,4,2,2
2a76166b5b2441f9bac17fd2869bc856,0,6,12,0,0,0,0,0,0,1,0,2,0,2,2
85398ad0c99442c1bbe9fd3c049e6f8c,1,1,1,2,0,1,2,0,2,3,1,2,5,5,6
85398ad0c99442c1bbe9fd3c049e6f8c,1,1,2,2,0,2,0,2,3,0,2,0,2,6,2
85398ad0c99442c1bbe9fd3c049e6f8c,1,2,3,2,3,2,1,0,2,5,2,1,4,2,2
85398ad0c99442c1bbe9fd3c049e6f8c,1,2,4,3,3,2,0,0,3,4,2,1,0,2,2
