userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
b48fa8b24b1f418bac53ac559b242fca,0,1,1,7435,19688,24024,12163
b48fa8b24b1f418bac53ac559b242fca,0,1,2,7435,19688,7400,12163
b48fa8b24b1f418bac53ac559b242fca,0,2,3,7435,19688,5248,10052
b48fa8b24b1f418bac53ac559b242fca,0,2,4,7435,19688,9676,10052
b48fa8b24b1f418bac53ac559b242fca,0,5,7,7435,19688,9063,6531
b48fa8b24b1f418bac53ac559b242fca,0,5,8,7435,19688,5440,6531
b48fa8b24b1f418bac53ac559b242fca,0,6,9,7435,19688,5707,6062
b48fa8b24b1f418bac53ac559b242fca,0,6,10,7435,19688,8170,6062
e334e59dcebb43658bb9dc7ea0fa98a5,0,1,1,12526,8311,11159,7060
e334e59dcebb43658bb9dc7ea0fa98a5,0,1,2,12526,8311,16869,7060
e334e59dcebb43658bb9dc7ea0fa98a5,0,2,3,12526,8311,6942,7271
e334e59dcebb43658bb9dc7ea0fa98a5,0,2,4,12526,8311,14581,7271
e334e59dcebb43658bb9dc7ea0fa98a5,0,3,5,12526,8311,8939,6591
e334e59dcebb43658bb9dc7ea0fa98a5,0,3,6,12526,8311,6586,6591
e334e59dcebb43658bb9dc7ea0fa98a5,0,4,7,12526,8311,7974,6616
e334e59dcebb43658bb9dc7ea0fa98a5,0,4,8,12526,8311,9178,6616
e334e59dcebb43658bb9dc7ea0fa98a5,0,5,9,12526,8311,5650,6199
e334e59dcebb43658bb9dc7ea0fa98a5,0,5,10,12526,8311,3726,6199
e334e59dcebb43658bb9dc7ea0fa98a5,0,6,11,12526,8311,5285,6401
e334e59dcebb43658bb9dc7ea0fa98a5,0,6,12,12526,8311,6649,6401
80071a49d04543eeaef6ec02c037d158,0,1,1,2043,15731,23023,12651
80071a49d04543eeaef6ec02c037d158,0,1,2,2043,15731,8377,12651
80071a49d04543eeaef6ec02c037d158,0,2,3,2043,15731,3652,5944
80071a49d04543eeaef6ec02c037d158,0,2,4,2043,15731,10233,5944
80071a49d04543eeaef6ec02c037d158,0,3,5,2043,15731,5606,8693
80071a49d04543eeaef6ec02c037d158,0,3,6,2043,15731,6782,8693
80071a49d04543eeaef6ec02c037d158,0,4,7,2043,15731,9497,6204
80071a49d04543eeaef6ec02c037d158,0,4,8,2043,15731,11539,6204
80071a49d04543eeaef6ec02c037d158,0,5,9,2043,15731,6229,10484
80071a49d04543eeaef6ec02c037d158,0,5,10,2043,15731,9780,10484
80071a49d04543eeaef6ec02c037d158,0,6,11,2043,15731,7729,6908
80071a49d04543eeaef6ec02c037d158,0,6,12,2043,15731,6402,6908
2a7631677b1a47d385d98e93c0fd72da,0,1,1,3974,11662,73,6939
2a7631677b1a47d385d98e93c0fd72da,0,1,2,3974,11662,14891,6939
2a7631677b1a47d385d98e93c0fd72da,0,2,3,3974,11662,3818,6513
2a7631677b1a47d385d98e93c0fd72da,0,2,4,3974,11662,7452,6513
2a7631677b1a47d385d98e93c0fd72da,0,3,5,3974,11662,7662,23244
2a7631677b1a47d385d98e93c0fd72da,0,3,6,3974,11662,6210,23244
2ce9e47caaa74ce7ba4f15844494c566,1,1,1,9500,36449,35936,44292
2ce9e47caaa74ce7ba4f15844494c566,1,1,2,9500,36449,13182,44292
2ce9e47caaa74ce7ba4f15844494c566,1,2,3,9500,36449,16888,34226
2ce9e47caaa74ce7ba4f15844494c566,1,2,4,9500,36449,15674,34226
2ce9e47caaa74ce7ba4f15844494c566,1,3,5,9500,36449,18735,40845
2ce9e47caaa74ce7ba4f15844494c566,1,3,6,9500,36449,29547,40845
2ce9e47caaa74ce7ba4f15844494c566,1,4,7,9500,36449,15953,26579
2ce9e47caaa74ce7ba4f15844494c566,1,4,8,9500,36449,13530,26579
2ce9e47caaa74ce7ba4f15844494c566,1,5,9,9500,36449,31914,28502
2ce9e47caaa74ce7ba4f15844494c566,1,5,10,9500,36449,21891,28502
2ce9e47caaa74ce7ba4f15844494c566,1,6,11,9500,36449,27918,23145
2ce9e47caaa74ce7ba4f15844494c566,1,6,12,9500,36449,14771,23145
5f458562bae346dd895c2f78e895c19f,1,1,1,2113,18890,54604,7806
