userId,group,trialNo,userInput,shubNo
6d1b18bc3805421ba0d947e135a2504b,1,3,3,8
669914495f4a421fa14f0fc62d7cce66,0,3,8,8
6d1b18bc3805421ba0d947e135a2504b,1,7,35,2
669914495f4a421fa14f0fc62d7cce66,0,7,3,3
0b76dd21a2dd43d5bb9ca87c14898d1d,0,3,6,8
0b76dd21a2dd43d5bb9ca87c14898d1d,0,7,2,2
459c811e7dd440a79175ee204f709a86,1,3,8,8
a64c8f5215d3401190fdcc51465adaed,1,3,8,8
459c811e7dd440a79175ee204f709a86,1,7,2,2
64c362d70ba44c81adfd809aca66c194,0,3,8,8
a64c8f5215d3401190fdcc51465adaed,1,7,2,2
64c362d70ba44c81adfd809aca66c194,0,7,2,2
f5c5f1e9ad7b4ee8868067ec6241413b,1,3,8,8
f5c5f1e9ad7b4ee8868067ec6241413b,1,7,2,2
160cad9d27d14d64b5656d30047a966b,1,3,3,9
160cad9d27d14d64b5656d30047a966b,1,7,4,2
6e72443e324b485e965b638b004004d3,0,3,8,8
6e72443e324b485e965b638b004004d3,0,7,2,2
366946ee693842639b3c724ef9ae8eef,0,3,14,8
366946ee693842639b3c724ef9ae8eef,0,7,2,2
366946ee693842639b3c724ef9ae8eef,0,7,2,2
