userId,group,trialNo,userInput,shubNo
a0c1b5a9552e4c3b92e5440cd8362ee7,0,3,6,6
e11fd51ee4cf4f90a090138d0daa26c5,0,3,12,12
a0c1b5a9552e4c3b92e5440cd8362ee7,0,7,16,24
67902ecb09454c9fa106f613aeb00e3b,1,3,5,5
e11fd51ee4cf4f90a090138d0daa26c5,0,7,50,50
67902ecb09454c9fa106f613aeb00e3b,1,7,2,2
9d673a6ed17042b88756047944809447,1,3,2,2
9d673a6ed17042b88756047944809447,1,7,2,2
883f7ba094f840c5a5404856e94a69be,1,3,10,5
4dd8f62dc0ff4caebca68f0dbc48accc,1,3,10,10
4dd8f62dc0ff4caebca68f0dbc48accc,1,7,10,10
43393b6f76eb4d118e882f915235769b,1,3,3,2
f745453fc9644f179c88b411066a437e,1,3,7,7
f745453fc9644f179c88b411066a437e,1,7,20,20
5655c934794d4a29bc73177e33e17292,0,3,4,3
6edb792de08b48658196002a446ce735,0,3,7,7
cf057adf72e7419a8a50bf0c521c5cf6,1,3,3,3
5655c934794d4a29bc73177e33e17292,0,7,13,13
6edb792de08b48658196002a446ce735,0,7,22,22
cf057adf72e7419a8a50bf0c521c5cf6,1,7,2,2
63200c7746d141bf979ecf847d4c093a,1,3,6,6
63200c7746d141bf979ecf847d4c093a,1,7,3,3
