userId,group,trialNo,userInput,shubNo
072930bfbcf44d7abbc5a9676b01bef2,1,3,5,5
072930bfbcf44d7abbc5a9676b01bef2,1,7,2,2
a9132e340ada426280483591e4b96474,1,3,7,7
a9132e340ada426280483591e4b96474,1,7,2,2
e977db639f1e44f3a528a8cfdcfd72bb,1,3,18,18
e977db639f1e44f3a528a8cfdcfd72bb,1,7,8,8
77ae400e8cbf4205b8597e06c7570aaa,1,3,5,2
77ae400e8cbf4205b8597e06c7570aaa,1,7,5,2
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,3,18,18
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,7,83,83
2a99a30f53de4511957af4a196b46fc0,0,3,2,2
2a99a30f53de4511957af4a196b46fc0,0,7,2,2
b83cf4848ab44a7693f65be62f3ce14e,1,3,5,5
b83cf4848ab44a7693f65be62f3ce14e,1,7,5,2
9fbef521062b49189f82774ae831f680,1,3,2,2
9fbef521062b49189f82774ae831f680,1,7,6,2
14572443a9874ec8a36c97ac1b3db952,0,3,18,7
14572443a9874ec8a36c97ac1b3db952,0,7,30,2
9a5f9265875c4a52b9dff7973c0fe2a3,1,3,2,19
9a5f9265875c4a52b9dff7973c0fe2a3,1,7,0,26
678e549d92d649c3a91e7cea445e087b,0,3,5,5
678e549d92d649c3a91e7cea445e087b,0,7,2,2
