userId,group,item,responseNo,checked
a0c1b5a9552e4c3b92e5440cd8362ee7,0,age,1,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,age,2,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,age,3,1
a0c1b5a9552e4c3b92e5440cd8362ee7,0,age,4,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,age,5,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,age,6,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,age,7,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,gender,1,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,gender,2,1
a0c1b5a9552e4c3b92e5440cd8362ee7,0,gender,3,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,gender,4,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,gender,5,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,gender,6,0
a0c1b5a9552e4c3b92e5440cd8362ee7,0,gender,7,0
e11fd51ee4cf4f90a090138d0daa26c5,0,age,1,0
e11fd51ee4cf4f90a090138d0daa26c5,0,age,2,0
e11fd51ee4cf4f90a090138d0daa26c5,0,age,3,0
e11fd51ee4cf4f90a090138d0daa26c5,0,age,4,1
e11fd51ee4cf4f90a090138d0daa26c5,0,age,5,0
e11fd51ee4cf4f90a090138d0daa26c5,0,age,6,0
e11fd51ee4cf4f90a090138d0daa26c5,0,age,7,0
e11fd51ee4cf4f90a090138d0daa26c5,0,gender,1,1
e11fd51ee4cf4f90a090138d0daa26c5,0,gender,2,0
e11fd51ee4cf4f90a090138d0daa26c5,0,gender,3,0
e11fd51ee4cf4f90a090138d0daa26c5,0,gender,4,0
e11fd51ee4cf4f90a090138d0daa26c5,0,gender,5,0
e11fd51ee4cf4f90a090138d0daa26c5,0,gender,6,0
e11fd51ee4cf4f90a090138d0daa26c5,0,gender,7,0
67902ecb09454c9fa106f613aeb00e3b,1,age,1,0
67902ecb09454c9fa106f613aeb00e3b,1,age,2,0
67902ecb09454c9fa106f613aeb00e3b,1,age,3,1
67902ecb09454c9fa106f613aeb00e3b,1,age,4,0
67902ecb09454c9fa106f613aeb00e3b,1,age,5,0
67902ecb09454c9fa106f613aeb00e3b,1,age,6,0
67902ecb09454c9fa106f613aeb00e3b,1,age,7,0
67902ecb09454c9fa106f613aeb00e3b,1,gender,1,0
67902ecb09454c9fa106f613aeb00e3b,1,gender,2,1
67902ecb09454c9fa106f613aeb00e3b,1,gender,3,0
67902ecb09454c9fa106f613aeb00e3b,1,gender,4,0
67902ecb09454c9fa106f613aeb00e3b,1,gender,5,0
67902ecb09454c9fa106f613aeb00e3b,1,gender,6,0
67902ecb09454c9fa106f613aeb00e3b,1,gender,7,0
9d673a6ed17042b88756047944809447,1,age,1,0
9d673a6ed17042b88756047944809447,1,age,2,0
9d673a6ed17042b88756047944809447,1,age,3,0
9d673a6ed17042b88756047944809447,1,age,4,1
9d673a6ed17042b88756047944809447,1,age,5,0
9d673a6ed17042b88756047944809447,1,age,6,0
9d673a6ed17042b88756047944809447,1,age,7,0
9d673a6ed17042b88756047944809447,1,gender,1,1
9d673a6ed17042b88756047944809447,1,gender,2,0
9d673a6ed17042b88756047944809447,1,gender,3,0
9d673a6ed17042b88756047944809447,1,gender,4,0
9d673a6ed17042b88756047944809447,1,gender,5,0
9d673a6ed17042b88756047944809447,1,gender,6,0
9d673a6ed17042b88756047944809447,1,gender,7,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,age,1,1
4dd8f62dc0ff4caebca68f0dbc48accc,1,age,2,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,age,3,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,age,4,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,age,5,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,age,6,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,age,7,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,gender,1,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,gender,2,1
4dd8f62dc0ff4caebca68f0dbc48accc,1,gender,3,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,gender,4,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,gender,5,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,gender,6,0
4dd8f62dc0ff4caebca68f0dbc48accc,1,gender,7,0
f745453fc9644f179c88b411066a437e,1,age,1,0
f745453fc9644f179c88b411066a437e,1,age,2,0
f745453fc9644f179c88b411066a437e,1,age,3,0
f745453fc9644f179c88b411066a437e,1,age,4,0
f745453fc9644f179c88b411066a437e,1,age,5,1
f745453fc9644f179c88b411066a437e,1,age,6,0
f745453fc9644f179c88b411066a437e,1,age,7,0
f745453fc9644f179c88b411066a437e,1,gender,1,0
f745453fc9644f179c88b411066a437e,1,gender,2,1
f745453fc9644f179c88b411066a437e,1,gender,3,0
f745453fc9644f179c88b411066a437e,1,gender,4,0
f745453fc9644f179c88b411066a437e,1,gender,5,0
f745453fc9644f179c88b411066a437e,1,gender,6,0
f745453fc9644f179c88b411066a437e,1,gender,7,0
cf057adf72e7419a8a50bf0c521c5cf6,1,age,1,1
cf057adf72e7419a8a50bf0c521c5cf6,1,age,2,0
cf057adf72e7419a8a50bf0c521c5cf6,1,age,3,0
cf057adf72e7419a8a50bf0c521c5cf6,1,age,4,0
cf057adf72e7419a8a50bf0c521c5cf6,1,age,5,0
cf057adf72e7419a8a50bf0c521c5cf6,1,age,6,0
cf057adf72e7419a8a50bf0c521c5cf6,1,age,7,0
cf057adf72e7419a8a50bf0c521c5cf6,1,gender,1,1
cf057adf72e7419a8a50bf0c521c5cf6,1,gender,2,0
cf057adf72e7419a8a50bf0c521c5cf6,1,gender,3,0
cf057adf72e7419a8a50bf0c521c5cf6,1,gender,4,0
cf057adf72e7419a8a50bf0c521c5cf6,1,gender,5,0
cf057adf72e7419a8a50bf0c521c5cf6,1,gender,6,0
cf057adf72e7419a8a50bf0c521c5cf6,1,gender,7,0
5655c934794d4a29bc73177e33e17292,0,age,1,1
5655c934794d4a29bc73177e33e17292,0,age,2,0
5655c934794d4a29bc73177e33e17292,0,age,3,0
5655c934794d4a29bc73177e33e17292,0,age,4,0
5655c934794d4a29bc73177e33e17292,0,age,5,0
5655c934794d4a29bc73177e33e17292,0,age,6,0
5655c934794d4a29bc73177e33e17292,0,age,7,0
5655c934794d4a29bc73177e33e17292,0,gender,1,0
5655c934794d4a29bc73177e33e17292,0,gender,2,1
5655c934794d4a29bc73177e33e17292,0,gender,3,0
5655c934794d4a29bc73177e33e17292,0,gender,4,0
5655c934794d4a29bc73177e33e17292,0,gender,5,0
5655c934794d4a29bc73177e33e17292,0,gender,6,0
5655c934794d4a29bc73177e33e17292,0,gender,7,0
6edb792de08b48658196002a446ce735,0,age,1,0
6edb792de08b48658196002a446ce735,0,age,2,1
6edb792de08b48658196002a446ce735,0,age,3,0
6edb792de08b48658196002a446ce735,0,age,4,0
6edb792de08b48658196002a446ce735,0,age,5,0
6edb792de08b48658196002a446ce735,0,age,6,0
6edb792de08b48658196002a446ce735,0,age,7,0
6edb792de08b48658196002a446ce735,0,gender,1,0
6edb792de08b48658196002a446ce735,0,gender,2,1
6edb792de08b48658196002a446ce735,0,gender,3,0
6edb792de08b48658196002a446ce735,0,gender,4,0
6edb792de08b48658196002a446ce735,0,gender,5,0
6edb792de08b48658196002a446ce735,0,gender,6,0
6edb792de08b48658196002a446ce735,0,gender,7,0
63200c7746d141bf979ecf847d4c093a,1,age,1,0
63200c7746d141bf979ecf847d4c093a,1,age,2,1
63200c7746d141bf979ecf847d4c093a,1,age,3,0
63200c7746d141bf979ecf847d4c093a,1,age,4,0
63200c7746d141bf979ecf847d4c093a,1,age,5,0
63200c7746d141bf979ecf847d4c093a,1,age,6,0
63200c7746d141bf979ecf847d4c093a,1,age,7,0
63200c7746d141bf979ecf847d4c093a,1,gender,1,1
63200c7746d141bf979ecf847d4c093a,1,gender,2,0
63200c7746d141bf979ecf847d4c093a,1,gender,3,0
63200c7746d141bf979ecf847d4c093a,1,gender,4,0
63200c7746d141bf979ecf847d4c093a,1,gender,5,0
63200c7746d141bf979ecf847d4c093a,1,gender,6,0
63200c7746d141bf979ecf847d4c093a,1,gender,7,0
