userId,group,item,responseNo,checked
072930bfbcf44d7abbc5a9676b01bef2,1,age,1,1
072930bfbcf44d7abbc5a9676b01bef2,1,age,2,0
072930bfbcf44d7abbc5a9676b01bef2,1,age,3,0
072930bfbcf44d7abbc5a9676b01bef2,1,age,4,0
072930bfbcf44d7abbc5a9676b01bef2,1,age,5,0
072930bfbcf44d7abbc5a9676b01bef2,1,age,6,0
072930bfbcf44d7abbc5a9676b01bef2,1,age,7,0
072930bfbcf44d7abbc5a9676b01bef2,1,gender,1,0
072930bfbcf44d7abbc5a9676b01bef2,1,gender,2,1
072930bfbcf44d7abbc5a9676b01bef2,1,gender,3,0
072930bfbcf44d7abbc5a9676b01bef2,1,gender,4,0
072930bfbcf44d7abbc5a9676b01bef2,1,gender,5,0
072930bfbcf44d7abbc5a9676b01bef2,1,gender,6,0
072930bfbcf44d7abbc5a9676b01bef2,1,gender,7,0
a9132e340ada426280483591e4b96474,1,age,1,0
a9132e340ada426280483591e4b96474,1,age,2,1
a9132e340ada426280483591e4b96474,1,age,3,0
a9132e340ada426280483591e4b96474,1,age,4,0
a9132e340ada426280483591e4b96474,1,age,5,0
a9132e340ada426280483591e4b96474,1,age,6,0
a9132e340ada426280483591e4b96474,1,age,7,0
a9132e340ada426280483591e4b96474,1,gender,1,0
a9132e340ada426280483591e4b96474,1,gender,2,1
a9132e340ada426280483591e4b96474,1,gender,3,0
a9132e340ada426280483591e4b96474,1,gender,4,0
a9132e340ada426280483591e4b96474,1,gender,5,0
a9132e340ada426280483591e4b96474,1,gender,6,0
a9132e340ada426280483591e4b96474,1,gender,7,0
e977db639f1e44f3a528a8cfdcfd72bb,1,age,1,0
e977db639f1e44f3a528a8cfdcfd72bb,1,age,2,0
e977db639f1e44f3a528a8cfdcfd72bb,1,age,3,1
e977db639f1e44f3a528a8cfdcfd72bb,1,age,4,0
e977db639f1e44f3a528a8cfdcfd72bb,1,age,5,0
e977db639f1e44f3a528a8cfdcfd72bb,1,age,6,0
e977db639f1e44f3a528a8cfdcfd72bb,1,age,7,0
e977db639f1e44f3a528a8cfdcfd72bb,1,gender,1,1
e977db639f1e44f3a528a8cfdcfd72bb,1,gender,2,0
e977db639f1e44f3a528a8cfdcfd72bb,1,gender,3,0
e977db639f1e44f3a528a8cfdcfd72bb,1,gender,4,0
e977db639f1e44f3a528a8cfdcfd72bb,1,gender,5,0
e977db639f1e44f3a528a8cfdcfd72bb,1,gender,6,0
e977db639f1e44f3a528a8cfdcfd72bb,1,gender,7,0
77ae400e8cbf4205b8597e06c7570aaa,1,age,1,0
77ae400e8cbf4205b8597e06c7570aaa,1,age,2,0
77ae400e8cbf4205b8597e06c7570aaa,1,age,3,1
77ae400e8cbf4205b8597e06c7570aaa,1,age,4,0
77ae400e8cbf4205b8597e06c7570aaa,1,age,5,0
77ae400e8cbf4205b8597e06c7570aaa,1,age,6,0
77ae400e8cbf4205b8597e06c7570aaa,1,age,7,0
77ae400e8cbf4205b8597e06c7570aaa,1,gender,1,1
77ae400e8cbf4205b8597e06c7570aaa,1,gender,2,0
77ae400e8cbf4205b8597e06c7570aaa,1,gender,3,0
77ae400e8cbf4205b8597e06c7570aaa,1,gender,4,0
77ae400e8cbf4205b8597e06c7570aaa,1,gender,5,0
77ae400e8cbf4205b8597e06c7570aaa,1,gender,6,0
77ae400e8cbf4205b8597e06c7570aaa,1,gender,7,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,age,1,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,age,2,1
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,age,3,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,age,4,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,age,5,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,age,6,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,age,7,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,gender,1,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,gender,2,1
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,gender,3,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,gender,4,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,gender,5,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,gender,6,0
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,gender,7,0
2a99a30f53de4511957af4a196b46fc0,0,age,1,0
2a99a30f53de4511957af4a196b46fc0,0,age,2,1
2a99a30f53de4511957af4a196b46fc0,0,age,3,0
2a99a30f53de4511957af4a196b46fc0,0,age,4,0
2a99a30f53de4511957af4a196b46fc0,0,age,5,0
2a99a30f53de4511957af4a196b46fc0,0,age,6,0
2a99a30f53de4511957af4a196b46fc0,0,age,7,0
2a99a30f53de4511957af4a196b46fc0,0,gender,1,0
2a99a30f53de4511957af4a196b46fc0,0,gender,2,1
2a99a30f53de4511957af4a196b46fc0,0,gender,3,0
2a99a30f53de4511957af4a196b46fc0,0,gender,4,0
2a99a30f53de4511957af4a196b46fc0,0,gender,5,0
2a99a30f53de4511957af4a196b46fc0,0,gender,6,0
2a99a30f53de4511957af4a196b46fc0,0,gender,7,0
b83cf4848ab44a7693f65be62f3ce14e,1,age,1,0
b83cf4848ab44a7693f65be62f3ce14e,1,age,2,0
b83cf4848ab44a7693f65be62f3ce14e,1,age,3,1
b83cf4848ab44a7693f65be62f3ce14e,1,age,4,0
b83cf4848ab44a7693f65be62f3ce14e,1,age,5,0
b83cf4848ab44a7693f65be62f3ce14e,1,age,6,0
b83cf4848ab44a7693f65be62f3ce14e,1,age,7,0
b83cf4848ab44a7693f65be62f3ce14e,1,gender,1,0
b83cf4848ab44a7693f65be62f3ce14e,1,gender,2,1
b83cf4848ab44a7693f65be62f3ce14e,1,gender,3,0
b83cf4848ab44a7693f65be62f3ce14e,1,gender,4,0
b83cf4848ab44a7693f65be62f3ce14e,1,gender,5,0
b83cf4848ab44a7693f65be62f3ce14e,1,gender,6,0
b83cf4848ab44a7693f65be62f3ce14e,1,gender,7,0
9fbef521062b49189f82774ae831f680,1,age,1,0
9fbef521062b49189f82774ae831f680,1,age,2,0
9fbef521062b49189f82774ae831f680,1,age,3,0
9fbef521062b49189f82774ae831f680,1,age,4,0
9fbef521062b49189f82774ae831f680,1,age,5,0
9fbef521062b49189f82774ae831f680,1,age,6,0
