Comparison,ShapiroPval,TestUsed,TestPval,TestEffSize,
AgeRaw,,Wilcox,0.551936815020849,0.063775725043834,
GenderRaw,0.00000331058594424471,Wilcox,0.614510354380116,-0.0530889208730389,
H1.3_UserJudgementsRelevPlants,0.000280802470806711,Wilcox,0.960576414738867,0.0057077146237368,
H1.3_UserJudgementsIrrelevPlants,0.000280802470806711,Wilcox,0.960576414738867,0.0057077146237368,
H2.1_UserJudgementsHelpfulness,NA,Wilcox,0.388218392075449,-0.109582418088965,
H2.1_UserJudgementsUsability,NA,Wilcox,0.200100993903616,-0.157712681810208,
H2.1_UserJudgementsHelpfulness,NA,Wilcox,0.104125637134751,0.208082119121678,
H3_UserJudgementsUnderstanding,NA,Wilcox,0.929337302847408,-0.0113541372857207,
H3_UserJudgementsSupport4Understanding,NA,Wilcox,0.324743148778991,-0.118550884563634,
H4_UserJudgementsHelpfulness,NA,Wilcox,0.674552647887154,-0.0516871043955611,
Expl_UserJudgementsInconsistencies,NA,Wilcox,0.52626129684177,0.080482962818145
