userId;group;item;responseNo;checked
akfl;P;age;1;0
akfl;P;age;2;1
akfl;P;age;3;0
akfl;P;age;4;0
akfl;P;age;5;0
akfl;P;age;6;0
akfl;P;age;7;0
akfl;P;gender;1;1
akfl;P;gender;2;0
akfl;P;gender;3;0
akfl;P;gender;4;0
akfl;P;gender;5;0
akfl;P;gender;6;0
akfl;P;gender;7;0
mqxp;P;age;1;0
mqxp;P;age;2;0
mqxp;P;age;3;0
mqxp;P;age;4;1
mqxp;P;age;5;0
mqxp;P;age;6;0
mqxp;P;age;7;0
mqxp;P;gender;1;0
mqxp;P;gender;2;1
mqxp;P;gender;3;0
mqxp;P;gender;4;0
mqxp;P;gender;5;0
mqxp;P;gender;6;0
mqxp;P;gender;7;0
rgho;C;age;1;0
rgho;C;age;2;0
rgho;C;age;3;0
rgho;C;age;4;1
rgho;C;age;5;0
rgho;C;age;6;0
rgho;C;age;7;0
rgho;C;gender;1;0
rgho;C;gender;2;1
rgho;C;gender;3;0
rgho;C;gender;4;0
rgho;C;gender;5;0
rgho;C;gender;6;0
rgho;C;gender;7;0
sagb;C;age;1;1
sagb;C;age;2;0
sagb;C;age;3;0
sagb;C;age;4;0
sagb;C;age;5;0
sagb;C;age;6;0
sagb;C;age;7;1
sagb;C;gender;1;0
sagb;C;gender;2;0
sagb;C;gender;3;0
sagb;C;gender;4;0
sagb;C;gender;5;0
sagb;C;gender;6;0
sagb;C;gender;7;0
