userId,group,blockNo,trialNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,shubNoOld,shubNoNew
akfl,P,1,1,2,2,2,2,2,2,3,2,2,2,5,8
akfl,P,1,2,1,1,1,1,1,1,2,1,1,1,8,12
akfl,P,1,3,3,4,4,4,4,3,5,4,4,4,12,16
akfl,P,2,4,3,3,3,3,3,3,5,3,3,3,16,22
akfl,P,2,5,1,2,3,4,5,1,4,2,3,4,22,24
akfl,P,2,6,3,2,4,4,4,3,4,3,3,3,24,30
akfl,P,3,7,4,3,3,3,3,3,3,5,3,3,30,15
akfl,P,3,8,1,2,3,4,5,1,4,2,3,4,15,12
akfl,P,3,9,3,4,4,4,4,3,5,4,4,4,12,16
akfl,P,4,10,3,3,3,3,3,3,5,3,3,3,16,22
akfl,P,4,11,1,2,3,4,5,1,4,2,3,4,22,24
akfl,P,4,12,2,2,2,2,2,2,3,2,2,2,24,32
akfl,P,5,13,1,0,3,1,1,3,3,1,1,1,32,20
akfl,P,5,14,3,3,1,2,3,3,1,2,3,2,20,25
akfl,P,5,15,2,3,2,2,3,4,1,1,3,1,25,50
mqxp,P,1,1,2,1,2,1,2,3,3,3,2,3,5,3
mqxp,P,1,2,1,3,4,2,4,4,1,2,2,2,3,2
mqxp,P,1,3,1,1,2,2,2,1,1,1,1,1,2,2
mqxp,P,2,4,1,2,2,1,1,1,1,3,5,3,2,4
mqxp,P,2,5,1,0,3,1,1,3,3,1,1,1,4,5
mqxp,P,2,6,1,1,3,3,4,2,1,2,2,2,5,7
mqxp,P,3,7,2,3,2,2,1,3,3,4,0,4,7,3
mqxp,P,3,8,2,3,3,2,2,3,4,2,2,4,3,9
mqxp,P,3,9,3,1,3,1,0,1,3,3,0,2,9,15
mqxp,P,4,10,3,3,1,2,3,3,1,2,3,2,15,17
mqxp,P,4,11,3,2,3,1,4,3,1,3,3,3,17,26
mqxp,P,4,12,2,2,2,3,1,3,0,2,2,2,26,32
mqxp,P,5,13,3,1,3,2,2,3,2,1,1,2,32,30
mqxp,P,5,14,2,2,3,3,1,3,2,2,2,2,30,42
mqxp,P,5,15,2,3,2,2,3,4,1,1,3,1,42,66
rgho,C,1,1,3,3,3,3,3,3,2,1,2,3,5,2
rgho,C,1,2,2,1,2,3,2,3,3,0,3,1,2,2
rgho,C,1,3,2,3,2,2,3,3,2,2,3,3,2,2
rgho,C,2,4,4,2,3,3,2,2,3,2,5,2,2,2
rgho,C,2,5,2,2,1,3,1,4,2,2,3,2,2,7
rgho,C,2,6,3,1,1,2,0,0,2,3,1,3,7,9
rgho,C,3,7,3,3,2,2,4,1,4,1,4,2,9,12
rgho,C,3,8,2,2,2,5,3,1,3,2,3,3,12,5
rgho,C,3,9,3,3,3,3,2,2,3,1,3,1,5,9
rgho,C,4,10,1,3,2,3,3,1,3,4,4,2,9,18
rgho,C,4,11,3,3,1,1,3,3,3,3,3,2,18,22
rgho,C,4,12,2,2,2,3,2,2,4,1,4,3,22,15
rgho,C,5,13,4,3,1,2,3,2,2,3,1,3,15,25
rgho,C,5,14,5,3,5,2,1,1,0,4,1,1,25,16
rgho,C,5,15,4,4,2,3,4,3,5,2,2,4,16,12
sagb,C,1,1,3,3,4,3,4,3,3,4,3,3,5,5
sagb,C,1,2,4,4,4,3,4,4,3,3,3,4,5,3
sagb,C,1,3,4,4,3,2,2,4,4,3,4,3,3,2
sagb,C,2,4,3,3,3,4,3,4,3,3,4,3,2,2
sagb,C,2,5,3,3,3,4,4,3,3,3,3,3,2,2
sagb,C,2,6,5,5,3,5,2,3,4,3,4,4,2,6
sagb,C,3,7,3,3,3,4,3,3,2,4,4,4,6,9
sagb,C,3,8,3,4,5,3,4,3,3,3,4,3,9,15
sagb,C,3,9,3,4,4,3,4,5,3,2,3,3,15,9
sagb,C,4,10,3,4,3,3,3,3,4,3,4,3,9,13
sagb,C,4,11,4,3,4,3,3,4,4,3,4,3,13,8
sagb,C,4,12,3,3,3,3,4,3,3,4,3,3,8,5
sagb,C,5,13,3,3,3,4,4,3,4,2,4,3,5,9
sagb,C,5,14,3,4,3,4,4,4,3,3,3,3,9,13
sagb,C,5,15,4,3,5,4,4,4,3,3,4,4,13,17
