userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
akfl,P,1,1,78000,65400,14780,13016
akfl,P,1,2,78000,65400,8139,13016
akfl,P,1,3,78000,65400,13425,13016
akfl,P,2,4,78000,65400,14384,12453
akfl,P,2,5,78000,65400,13639,12453
akfl,P,2,6,78000,65400,13006,12453
akfl,P,3,7,78000,65400,6420,10318
akfl,P,3,8,78000,65400,16611,10318
akfl,P,3,9,78000,65400,14073,10318
akfl,P,4,10,78000,65400,13952,11063
akfl,P,4,11,78000,65400,10791,11063
akfl,P,4,12,78000,65400,6219,11063
akfl,P,5,13,78000,65400,10630,10796
akfl,P,5,14,78000,65400,11196,10796
akfl,P,5,15,78000,65400,19446,10796
mqxp,P,1,1,193200,127200,10362,26704
mqxp,P,1,2,193200,127200,20537,26704
mqxp,P,1,3,193200,127200,20235,26704
mqxp,P,2,4,193200,127200,7866,17783
mqxp,P,2,5,193200,127200,14298,17783
mqxp,P,2,6,193200,127200,18486,17783
mqxp,P,3,7,193200,127200,24573,13371
mqxp,P,3,8,193200,127200,16414,13371
mqxp,P,3,9,193200,127200,20534,13371
mqxp,P,4,10,193200,127200,20695,19774
mqxp,P,4,11,193200,127200,24249,19774
mqxp,P,4,12,193200,127200,16431,19774
mqxp,P,5,13,193200,127200,17243,19766
mqxp,P,5,14,193200,127200,27483,19766
mqxp,P,5,15,193200,127200,16358,19766
rgho,C,1,1,6000,36000,8947,10411
rgho,C,1,2,6000,36000,2951,10411
rgho,C,1,3,6000,36000,8760,10411
rgho,C,2,4,6000,36000,9441,8928
rgho,C,2,5,6000,36000,11654,8928
rgho,C,2,6,6000,36000,11976,8928
rgho,C,3,7,6000,36000,5374,8005
rgho,C,3,8,6000,36000,9999,8005
rgho,C,3,9,6000,36000,9276,8005
rgho,C,4,10,6000,36000,12026,9932
rgho,C,4,11,6000,36000,9302,9932
rgho,C,4,12,6000,36000,7125,9932
rgho,C,5,13,6000,36000,9333,8795
rgho,C,5,14,6000,36000,9307,8795
rgho,C,5,15,6000,36000,8378,8795
sagb,C,1,1,79200,159600,13380,12904
sagb,C,1,2,79200,159600,12449,12904
sagb,C,1,3,79200,159600,13494,12904
sagb,C,2,4,79200,159600,11391,19642
sagb,C,2,5,79200,159600,12415,19642
sagb,C,2,6,79200,159600,8610,19642
sagb,C,3,7,79200,159600,11354,19337
sagb,C,3,8,79200,159600,10161,19337
sagb,C,3,9,79200,159600,9462,19337
sagb,C,4,10,79200,159600,11328,17202
sagb,C,4,11,79200,159600,9561,17202
sagb,C,4,12,79200,159600,10967,17202
sagb,C,5,13,79200,159600,9842,24090
sagb,C,5,14,79200,159600,9369,24090
sagb,C,5,15,79200,159600,9490,24090
