"","userId","group","item","responseNo","checked"
"1","XYHV","C","age",1,0
"2","XYHV","C","age",2,0
"3","XYHV","C","age",3,0
"4","XYHV","C","age",4,0
"5","XYHV","C","age",5,0
"6","XYHV","C","age",6,1
"7","XYHV","C","age",7,0
"8","XYHV","C","gender",1,0
"9","XYHV","C","gender",2,0
"10","XYHV","C","gender",3,1
"11","XYHV","C","gender",4,0
"12","XYHV","C","gender",5,0
"13","XYHV","C","gender",6,0
"14","XYHV","C","gender",7,0
"15","QNTD","P","age",1,0
"16","QNTD","P","age",2,0
"17","QNTD","P","age",3,0
"18","QNTD","P","age",4,0
"19","QNTD","P","age",5,1
"20","QNTD","P","age",6,0
"21","QNTD","P","age",7,0
"22","QNTD","P","gender",1,0
"23","QNTD","P","gender",2,0
"24","QNTD","P","gender",3,0
"25","QNTD","P","gender",4,0
"26","QNTD","P","gender",5,1
"27","QNTD","P","gender",6,0
"28","QNTD","P","gender",7,0
"29","RSLS","C","age",1,0
"30","RSLS","C","age",2,0
"31","RSLS","C","age",3,0
"32","RSLS","C","age",4,0
"33","RSLS","C","age",5,0
"34","RSLS","C","age",6,0
"35","RSLS","C","age",7,1
"36","RSLS","C","gender",1,0
"37","RSLS","C","gender",2,0
"38","RSLS","C","gender",3,0
"39","RSLS","C","gender",4,0
"40","RSLS","C","gender",5,0
"41","RSLS","C","gender",6,1
"42","RSLS","C","gender",7,0
"43","YGMY","P","age",1,0
"44","YGMY","P","age",2,0
"45","YGMY","P","age",3,0
"46","YGMY","P","age",4,1
"47","YGMY","P","age",5,0
"48","YGMY","P","age",6,0
"49","YGMY","P","age",7,0
"50","YGMY","P","gender",1,0
"51","YGMY","P","gender",2,1
"52","YGMY","P","gender",3,0
"53","YGMY","P","gender",4,0
"54","YGMY","P","gender",5,0
"55","YGMY","P","gender",6,0
"56","YGMY","P","gender",7,0
"57","ZDMO","C","age",1,1
"58","ZDMO","C","age",2,0
"59","ZDMO","C","age",3,0
"60","ZDMO","C","age",4,0
"61","ZDMO","C","age",5,0
"62","ZDMO","C","age",6,0
"63","ZDMO","C","age",7,0
"64","ZDMO","C","gender",1,0
"65","ZDMO","C","gender",2,0
"66","ZDMO","C","gender",3,0
"67","ZDMO","C","gender",4,0
"68","ZDMO","C","gender",5,0
"69","ZDMO","C","gender",6,0
"70","ZDMO","C","gender",7,1
"71","XDZY","P","age",1,0
"72","XDZY","P","age",2,0
"73","XDZY","P","age",3,1
"74","XDZY","P","age",4,0
"75","XDZY","P","age",5,0
"76","XDZY","P","age",6,0
"77","XDZY","P","age",7,0
"78","XDZY","P","gender",1,0
"79","XDZY","P","gender",2,1
"80","XDZY","P","gender",3,0
"81","XDZY","P","gender",4,0
"82","XDZY","P","gender",5,0
"83","XDZY","P","gender",6,0
"84","XDZY","P","gender",7,0
"85","CNKX","C","age",1,1
"86","CNKX","C","age",2,0
"87","CNKX","C","age",3,0
"88","CNKX","C","age",4,0
"89","CNKX","C","age",5,0
"90","CNKX","C","age",6,0
"91","CNKX","C","age",7,0
"92","CNKX","C","gender",1,0
"93","CNKX","C","gender",2,1
"94","CNKX","C","gender",3,0
"95","CNKX","C","gender",4,0
"96","CNKX","C","gender",5,0
"97","CNKX","C","gender",6,0
"98","CNKX","C","gender",7,0
"99","LVTV","P","age",1,0
"100","LVTV","P","age",2,0
"101","LVTV","P","age",3,0
"102","LVTV","P","age",4,0
"103","LVTV","P","age",5,0
"104","LVTV","P","age",6,1
"105","LVTV","P","age",7,0
"106","LVTV","P","gender",1,0
"107","LVTV","P","gender",2,0
"108","LVTV","P","gender",3,0
"109","LVTV","P","gender",4,0
"110","LVTV","P","gender",5,0
"111","LVTV","P","gender",6,1
"112","LVTV","P","gender",7,0
"113","KRAV","C","age",1,0
"114","KRAV","C","age",2,0
"115","KRAV","C","age",3,0
"116","KRAV","C","age",4,1
"117","KRAV","C","age",5,0
"118","KRAV","C","age",6,0
"119","KRAV","C","age",7,0
"120","KRAV","C","gender",1,0
"121","KRAV","C","gender",2,0
"122","KRAV","C","gender",3,0
"123","KRAV","C","gender",4,0
"124","KRAV","C","gender",5,0
"125","KRAV","C","gender",6,1
"126","KRAV","C","gender",7,0
"127","AFXP","P","age",1,0
"128","AFXP","P","age",2,0
"129","AFXP","P","age",3,0
"130","AFXP","P","age",4,1
"131","AFXP","P","age",5,0
"132","AFXP","P","age",6,0
"133","AFXP","P","age",7,0
"134","AFXP","P","gender",1,1
"135","AFXP","P","gender",2,0
"136","AFXP","P","gender",3,0
"137","AFXP","P","gender",4,0
"138","AFXP","P","gender",5,0
"139","AFXP","P","gender",6,0
"140","AFXP","P","gender",7,0
"141","JLAZ","C","age",1,0
"142","JLAZ","C","age",2,0
"143","JLAZ","C","age",3,0
"144","JLAZ","C","age",4,0
"145","JLAZ","C","age",5,0
"146","JLAZ","C","age",6,0
"147","JLAZ","C","age",7,1
"148","JLAZ","C","gender",1,0
