"userId","group","itemNo","responseNo","checked"
"c3e2f5c287fb448ab92a06cf4098be36",1,0,1,1
"c3e2f5c287fb448ab92a06cf4098be36",1,0,2,0
"c3e2f5c287fb448ab92a06cf4098be36",1,0,3,0
"c3e2f5c287fb448ab92a06cf4098be36",1,0,4,0
"c3e2f5c287fb448ab92a06cf4098be36",1,0,5,1
"c3e2f5c287fb448ab92a06cf4098be36",1,0,6,0
"c3e2f5c287fb448ab92a06cf4098be36",1,1,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,1,2,0
"c3e2f5c287fb448ab92a06cf4098be36",1,1,3,1
"c3e2f5c287fb448ab92a06cf4098be36",1,1,4,1
"c3e2f5c287fb448ab92a06cf4098be36",1,1,5,0
"c3e2f5c287fb448ab92a06cf4098be36",1,1,6,0
"c3e2f5c287fb448ab92a06cf4098be36",1,2,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,2,2,0
"c3e2f5c287fb448ab92a06cf4098be36",1,2,3,0
"c3e2f5c287fb448ab92a06cf4098be36",1,2,4,0
"c3e2f5c287fb448ab92a06cf4098be36",1,2,5,1
"c3e2f5c287fb448ab92a06cf4098be36",1,2,6,0
"c3e2f5c287fb448ab92a06cf4098be36",1,3,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,3,2,1
"c3e2f5c287fb448ab92a06cf4098be36",1,3,3,0
"c3e2f5c287fb448ab92a06cf4098be36",1,3,4,0
"c3e2f5c287fb448ab92a06cf4098be36",1,3,5,0
"c3e2f5c287fb448ab92a06cf4098be36",1,3,6,0
"c3e2f5c287fb448ab92a06cf4098be36",1,4,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,4,2,0
"c3e2f5c287fb448ab92a06cf4098be36",1,4,3,1
"c3e2f5c287fb448ab92a06cf4098be36",1,4,4,0
"c3e2f5c287fb448ab92a06cf4098be36",1,4,5,0
"c3e2f5c287fb448ab92a06cf4098be36",1,4,6,0
"c3e2f5c287fb448ab92a06cf4098be36",1,5,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,5,2,0
"c3e2f5c287fb448ab92a06cf4098be36",1,5,3,0
"c3e2f5c287fb448ab92a06cf4098be36",1,5,4,0
"c3e2f5c287fb448ab92a06cf4098be36",1,5,5,1
"c3e2f5c287fb448ab92a06cf4098be36",1,5,6,0
"c3e2f5c287fb448ab92a06cf4098be36",1,6,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,6,2,0
"c3e2f5c287fb448ab92a06cf4098be36",1,6,3,0
"c3e2f5c287fb448ab92a06cf4098be36",1,6,4,0
"c3e2f5c287fb448ab92a06cf4098be36",1,6,5,0
"c3e2f5c287fb448ab92a06cf4098be36",1,6,6,1
"c3e2f5c287fb448ab92a06cf4098be36",1,7,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,7,2,1
"c3e2f5c287fb448ab92a06cf4098be36",1,7,3,0
"c3e2f5c287fb448ab92a06cf4098be36",1,7,4,0
"c3e2f5c287fb448ab92a06cf4098be36",1,7,5,0
"c3e2f5c287fb448ab92a06cf4098be36",1,7,6,0
"c3e2f5c287fb448ab92a06cf4098be36",1,8,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,8,2,0
"c3e2f5c287fb448ab92a06cf4098be36",1,8,3,0
"c3e2f5c287fb448ab92a06cf4098be36",1,8,4,0
"c3e2f5c287fb448ab92a06cf4098be36",1,8,5,1
"c3e2f5c287fb448ab92a06cf4098be36",1,8,6,0
"c3e2f5c287fb448ab92a06cf4098be36",1,9,1,0
"c3e2f5c287fb448ab92a06cf4098be36",1,9,2,0
"c3e2f5c287fb448ab92a06cf4098be36",1,9,3,0
"c3e2f5c287fb448ab92a06cf4098be36",1,9,4,1
"c3e2f5c287fb448ab92a06cf4098be36",1,9,5,0
"c3e2f5c287fb448ab92a06cf4098be36",1,9,6,0
"f2a68571350c4e5da76a88650675e9df",1,0,1,0
"f2a68571350c4e5da76a88650675e9df",1,0,2,1
"f2a68571350c4e5da76a88650675e9df",1,0,3,0
"f2a68571350c4e5da76a88650675e9df",1,0,4,0
"f2a68571350c4e5da76a88650675e9df",1,0,5,1
"f2a68571350c4e5da76a88650675e9df",1,0,6,0
"f2a68571350c4e5da76a88650675e9df",1,1,1,0
"f2a68571350c4e5da76a88650675e9df",1,1,2,0
"f2a68571350c4e5da76a88650675e9df",1,1,3,1
"f2a68571350c4e5da76a88650675e9df",1,1,4,1
"f2a68571350c4e5da76a88650675e9df",1,1,5,0
"f2a68571350c4e5da76a88650675e9df",1,1,6,0
"f2a68571350c4e5da76a88650675e9df",1,2,1,0
"f2a68571350c4e5da76a88650675e9df",1,2,2,0
"f2a68571350c4e5da76a88650675e9df",1,2,3,0
