"","userId","group","itemNo","responseNo","checked"
"1","XYHV","C",1,1,0
"2","XYHV","C",1,2,0
"3","XYHV","C",1,3,0
"4","XYHV","C",1,4,1
"5","XYHV","C",1,5,1
"6","XYHV","C",1,6,0
"7","XYHV","C",2,1,1
"8","XYHV","C",2,2,1
"9","XYHV","C",2,3,1
"10","XYHV","C",2,4,0
"11","XYHV","C",2,5,0
"12","XYHV","C",2,6,0
"13","XYHV","C",3,1,0
"14","XYHV","C",3,2,0
"15","XYHV","C",3,3,0
"16","XYHV","C",3,4,0
"17","XYHV","C",3,5,1
"18","XYHV","C",3,6,0
"19","XYHV","C",4,1,0
"20","XYHV","C",4,2,1
"21","XYHV","C",4,3,0
"22","XYHV","C",4,4,0
"23","XYHV","C",4,5,0
"24","XYHV","C",4,6,0
"25","XYHV","C",5,1,0
"26","XYHV","C",5,2,1
"27","XYHV","C",5,3,0
"28","XYHV","C",5,4,0
"29","XYHV","C",5,5,0
"30","XYHV","C",5,6,0
"31","XYHV","C",6,1,0
"32","XYHV","C",6,2,0
"33","XYHV","C",6,3,0
"34","XYHV","C",6,4,0
"35","XYHV","C",6,5,1
"36","XYHV","C",6,6,0
"37","XYHV","C",7,1,0
"38","XYHV","C",7,2,1
"39","XYHV","C",7,3,0
"40","XYHV","C",7,4,0
"41","XYHV","C",7,5,0
"42","XYHV","C",7,6,0
"43","XYHV","C",8,1,0
"44","XYHV","C",8,2,0
"45","XYHV","C",8,3,0
"46","XYHV","C",8,4,0
"47","XYHV","C",8,5,0
"48","XYHV","C",8,6,1
"49","XYHV","C",9,1,0
"50","XYHV","C",9,2,0
"51","XYHV","C",9,3,1
"52","XYHV","C",9,4,0
"53","XYHV","C",9,5,0
"54","XYHV","C",9,6,0
"55","QNTD","P",1,1,0
"56","QNTD","P",1,2,1
"57","QNTD","P",1,3,1
"58","QNTD","P",1,4,0
"59","QNTD","P",1,5,0
"60","QNTD","P",1,6,0
"61","QNTD","P",2,1,1
"62","QNTD","P",2,2,0
"63","QNTD","P",2,3,0
"64","QNTD","P",2,4,1
"65","QNTD","P",2,5,1
"66","QNTD","P",2,6,0
"67","QNTD","P",3,1,0
"68","QNTD","P",3,2,0
"69","QNTD","P",3,3,0
"70","QNTD","P",3,4,0
"71","QNTD","P",3,5,1
"72","QNTD","P",3,6,0
"73","QNTD","P",4,1,0
"74","QNTD","P",4,2,0
"75","QNTD","P",4,3,1
"76","QNTD","P",4,4,0
"77","QNTD","P",4,5,0
"78","QNTD","P",4,6,0
"79","QNTD","P",5,1,0
"80","QNTD","P",5,2,0
"81","QNTD","P",5,3,0
"82","QNTD","P",5,4,0
"83","QNTD","P",5,5,1
"84","QNTD","P",5,6,0
"85","QNTD","P",6,1,0
"86","QNTD","P",6,2,0
"87","QNTD","P",6,3,0
"88","QNTD","P",6,4,0
